file,dataset_name,original_label,original_label_value,T,Nv,Ng,min_voltage_global,tail_voltage_mean,tail_voltage_min,tail_voltage_std,final_recovered_ratio_0_9,final_recovered_ratio_0_95,duration_below_0_9,duration_below_0_85,duration_below_0_8,duration_below_0_7,undervoltage_area,non_recovery_ratio,spread_peak,tail_spread_mean,tail_spread_std,tail_spread_slope,tail_spread_slope_abs,angle_speed_median,angle_speed_p90,invalid_angle_ratio,first_invalid_time,g_v,g_r,g_s,g_w,raw_boundary_score,penalized_boundary_score,side_bonus,stable_clear_flag,unstable_clear_flag,boundary_score,boundary_candidate_flag,dynamic_unstable_flag,strong_high_voltage_override,stable_side_signal,unstable_side_signal,high_voltage_fast_signal,stable_side_boundary_flag,unstable_side_boundary_flag,high_voltage_fast_flag,stable_side_bonus,unstable_side_bonus,boundary_side,suspicious_reason,boundary_rank,plot_rel_path
36data/CurveResult 50%/job_127_110_1.npy,36,unstable,1,2001,34,7,5.999999848427251e-05,1.0136662675582913,0.8956276623170767,0.012768931605577658,0.9551543389633081,0.8063482818870122,11.684999465942383,2.059999942779541,1.75,1.3700000047683716,0.6849452691109768,0.029411764705882353,97.67091751098633,83.07737647478854,7.17396998154461,1.7863733492903107,1.7863733492903107,7.799876025176426,37.39095937440402,0.0,,0.989435458272068,0.4215309358403074,0.3360067256554404,0.31259835203151776,0.5487347232618609,0.5487347232618609,0.015049330713326958,0,0,0.5637840539751878,1,0,0,0.6243548150975189,0.08360739285181644,0.2296017632027318,0,1,0,0.0,0.015049330713326958,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,89,plots/36/36data__CurveResult_50___job_127_110_1.npy.png
36data/CurveResult 50%/job_101_110_1.npy,36,unstable,1,2001,34,7,0.0003000000142492354,1.0136669770140447,0.8956278618888476,0.01278061035125418,0.9551543389633081,0.806930693069307,11.694999694824219,2.059999942779541,1.75,1.3700000047683716,0.6857562141333696,0.029411764705882353,97.68851852416992,83.07325994197409,7.179121908858971,1.7850806861490813,1.7850806861490813,7.767666166760164,37.47860003814612,0.0,,0.9894364175579798,0.4215309358403074,0.3359250178612171,0.31068233964111375,0.5483313816209978,0.5483313816209978,0.014987100572418113,0,0,0.563318482193416,1,0,0,0.6233176159666607,0.08326166984676729,0.22891403832150994,0,1,0,0.0,0.014987100572418113,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,90,plots/36/36data__CurveResult_50___job_101_110_1.npy.png
36data/CurveResult 50%/job_75_110_1.npy,36,unstable,1,2001,34,7,0.0007099999929778278,1.0136672066410697,0.8956250750010286,0.012799273848973973,0.9551543389633081,0.806930693069307,11.694999933242798,2.0700000524520874,1.75,1.380000114440918,0.687100056626356,0.029411764705882353,97.71772956848145,83.06718716218104,7.18600534934791,1.7824338720729915,1.7824338720729915,7.724990463475109,37.50245088689684,0.0,,0.9894230178852144,0.4215309358403074,0.335804500773682,0.30815414531869006,0.5477915935827997,0.5477915935827997,0.014906486193542663,0,0,0.5626980797763423,1,0,0,0.6219127892387625,0.08281381218634813,0.2280352711075289,0,1,0,0.0,0.014906486193542663,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,91,plots/36/36data__CurveResult_50___job_75_110_1.npy.png
37data/CurveResult 70%/job_191_110_1.npy,37,unstable,1,2001,36,8,0.13860000669956207,0.9984895108631133,0.9155912936030336,0.04717944063464175,0.9086908690869087,0.8080308030803081,6.145000696182251,4.015002012252808,1.6600000858306885,0.20000004768371582,0.5493077062717872,0.0,111.4246301651001,85.037815069233,17.981073981989326,5.63966221751083,5.63966221751083,38.47060366202556,179.09818527408473,0.0,,0.8736729860041584,0.7640586007765128,0.3761062859620161,0.06957586791078847,0.5610582910680375,0.5610582910680375,0.0,0,0,0.5610582910680375,1,0,0,0.495162811541766,0.03561139875683113,0.23814030696236516,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,92,plots/37/37data__CurveResult_70___job_191_110_1.npy.png
36data/CurveResult 60%/job_211_110_1.npy,36,unstable,1,2001,34,7,0.06772000342607498,0.9834577419149412,0.9124343768874211,0.028857776084128428,0.918462434478742,0.7265579499126383,4.599999904632568,1.3899993896484375,1.0199999809265137,0.8700000047683716,0.4461369243120481,0.0,124.3046293258667,87.88682408708806,12.751188256731792,0.865923902732143,0.865923902732143,44.73745946976922,178.72027465191687,0.0,,0.9176891925679354,0.6933779313037316,0.4382328653778568,0.008389317558276389,0.5598873204524331,0.5598873204524331,0.0,0,0,0.5598873204524331,1,0,0,0.4996332168809956,0.03600950894006236,0.3245580460359635,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,93,plots/36/36data__CurveResult_60___job_211_110_1.npy.png
37data/CurveResult 70%/job_471_100_1.npy,37,unstable,1,2001,36,8,0.12409999966621399,0.9967582890050328,0.9141606451267034,0.037448453880226135,0.9194169416941694,0.8047304730473047,5.120001196861267,2.579999566078186,1.0899997353553772,0.6399999856948853,0.5364876899878739,0.0,115.9143009185791,85.71112727318237,15.869199370696249,2.0696370926066274,2.0696370926066274,37.111195880221246,192.77925315547637,0.0,,0.8945789214672695,0.6862852928500782,0.39040077695239783,0.10152547735989434,0.5578502893627787,0.5578502893627787,0.0,0,0,0.5578502893627787,1,0,0,0.499195877089677,0.03702845241758968,0.2701872185713637,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,94,plots/37/37data__CurveResult_70___job_471_100_1.npy.png
36data/CurveResult 70%/job_185_120_1.npy,36,unstable,1,2001,34,7,0.09884999692440033,0.984786434431051,0.9238019425477555,0.05075119803855851,0.8788584740827023,0.7792661619103087,6.3549991846084595,3.5949994325637817,0.869999885559082,0.3500000238418579,0.5265497827550112,0.0,112.79138374328613,84.2964554267625,14.792909835396733,3.4949232150051075,3.4949232150051075,39.51576993193737,156.467222963952,0.0,,0.7299784538264827,0.9370080547162982,0.36066905867699106,0.051021408030347964,0.5536170961023367,0.5536170961023367,0.0,0,0,0.5536170961023367,1,0,0,0.48201341784737645,0.03657323628985894,0.24129009145399108,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,95,plots/36/36data__CurveResult_70___job_185_120_1.npy.png
37data/CurveResult 70%/job_303_100_1.npy,37,unstable,1,2001,36,8,0.015039999969303608,0.996495330338652,0.9134142289114235,0.03789876520232575,0.9194169416941694,0.8022552255225522,5.330000281333923,2.789999842643738,1.209999442100525,0.7200000286102295,0.5905079044211359,0.0,124.03679847717285,85.92959680402679,16.01799488886068,5.197428981770623,5.197428981770623,39.4709135990845,192.2269749547016,0.0,,0.9048668069850638,0.6862852928500782,0.39509307886312195,0.05172327156601521,0.5521492893370223,0.5521492893370223,0.0,0,0,0.5521492893370223,1,0,0,0.5118169533458605,0.03485442623476401,0.31030205180912007,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,96,plots/37/37data__CurveResult_70___job_303_100_1.npy.png
36data/CurveResult 70%/job_170_110_1.npy,36,unstable,1,2001,34,7,0.13722999393939972,0.9820706001020922,0.9111456233470594,0.03274945095983753,0.9190448456610367,0.7810133954571927,3.324998617172241,1.319999098777771,0.5499999523162842,0.2200000286102295,0.2903621313439181,0.0,105.57984352111816,85.39897967348644,12.970803631781646,5.085979847976901,5.085979847976901,54.40813496682374,208.7880712609455,0.0,,0.9333137588848209,0.6890532159817268,0.3837421308924705,9.617192703135145e-05,0.5482121987694019,0.5482121987694019,0.0,0,0,0.5482121987694019,1,0,0,0.5086816920452367,0.03564337241723408,0.20424174344825113,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,97,plots/36/36data__CurveResult_70___job_170_110_1.npy.png
36data/CurveResult 70%/job_289_115_1.npy,36,unstable,1,2001,34,7,0.027389999479055405,0.985844297963065,0.918413234883873,0.04324908746810634,0.906814210832848,0.8162492719860222,6.355001211166382,3.595001459121704,0.9699999094009399,0.7300000190734863,0.6112612443109262,0.0,115.88935628533363,86.17064948580158,15.118249019953076,3.2892360254894646,3.2892360254894646,43.10585542628266,186.06696547777992,0.0,,0.8283168190744808,0.7771078486317062,0.4003004195200685,0.015437713483738772,0.5459346554570357,0.5459346554570357,0.0,0,0,0.5459346554570357,1,0,0,0.5120510994528255,0.032336776191487684,0.2709747376863159,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,98,plots/36/36data__CurveResult_70___job_289_115_1.npy.png
36data/CurveResult 50%/job_49_110_1.npy,36,unstable,1,2001,34,7,0.0004600000102072954,1.0135651979228018,0.8954980097599884,0.01124380853372059,0.9603960396039604,0.8075131042516016,11.83500075340271,1.8199999332427979,1.5499999523162842,0.9199999570846558,0.5999026194576339,0.029411764705882353,95.79511833190918,83.49750108861211,6.368444030507221,1.7899464710808732,1.7899464710808732,6.867871447644479,32.33444115964143,0.0,,0.9888032026078184,0.38591749171713036,0.3444019165940406,0.25994440377523725,0.5312096936151858,0.5312096936151858,0.013414643560946614,0,0,0.5446243371761323,1,0,0,0.6001920784846286,0.07452579756081452,0.20319674485437736,0,1,0,0.0,0.013414643560946614,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,99,plots/36/36data__CurveResult_50___job_49_110_1.npy.png
36data/CurveResult 50%/job_23_110_1.npy,36,unstable,1,2001,34,7,7.999999797903001e-05,1.013565517977242,0.8954991535167789,0.011248880242572474,0.9603960396039604,0.8075131042516016,11.83500075340271,1.8199999332427979,1.5499999523162842,0.9199999570846558,0.6004224233947056,0.029411764705882353,95.80601119995117,83.49653897831097,6.3719406703055474,1.790645454102195,1.790645454102195,6.848369254243753,32.365449170322336,0.0,,0.9888088591582146,0.38591749171713036,0.3443825645641964,0.25890550761407727,0.5309987733406115,0.5309987733406115,0.013385068801363127,0,0,0.5443838421419747,1,0,0,0.5996269711512173,0.07436149334090626,0.20286442963998874,0,1,0,0.0,0.013385068801363127,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,100,plots/36/36data__CurveResult_50___job_23_110_1.npy.png
36data/CurveResult 70%/job_179_115_1.npy,36,unstable,1,2001,34,7,0.0003600000054575503,1.017185662682028,0.9078499998026226,0.013710203272360682,0.9740827023878859,0.8433313919627257,9.020001649856567,1.880000114440918,1.7799999713897705,1.5399999618530273,0.7232965293285414,0.0,106.86220264434814,82.05833041015549,7.213034109436737,0.2719856470179083,0.2719856470179083,31.079916078580965,98.8095746709899,0.0,,0.9663446571139453,0.300336161563495,0.31611277915354685,0.38323842221954074,0.5206633167573522,0.5206633167573522,0.013590940038446114,0,0,0.5342542567957983,1,0,0,0.43375677133518714,0.07550522243581174,0.2247468776699082,0,1,0,0.0,0.013590940038446114,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,101,plots/36/36data__CurveResult_70___job_179_115_1.npy.png
36data/CurveResult 70%/job_326_110_1.npy,36,unstable,1,2001,34,7,0.18118999898433685,0.9828341243069598,0.913771342578812,0.03152417985779988,0.9205008736167735,0.7722772277227723,3.0650012493133545,1.120000958442688,0.5600000023841858,0.26999998092651367,0.29519683937428887,0.0,104.41340255737305,84.93484113497928,12.572199396842787,5.2863603615842525,5.2863603615842525,53.1582347892428,205.65593171848184,0.0,,0.8999995258806689,0.6782017935336063,0.37394285289700135,0.0001860308710715987,0.533073225546067,0.533073225546067,0.0,0,0,0.533073225546067,1,0,0,0.5004560936498824,0.0325003510713461,0.19446333826598208,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,102,plots/36/36data__CurveResult_70___job_326_110_1.npy.png
37data/CurveResult 70%/job_219_110_1.npy,37,unstable,1,2001,36,8,0.27990999817848206,1.0015129490805437,0.9226734314984943,0.048649754836232774,0.8987898789878987,0.7643014301430143,3.799999713897705,1.6999989748001099,0.529998779296875,0.20000004768371582,0.28802264463773647,0.0,110.22636795043945,83.21730746506755,17.670001917781953,-5.053816765252248,5.053816765252248,38.296728971962615,171.46461949265688,0.0,,0.7515613039015114,0.8302961494334771,0.33879056120032275,0.07313904679084181,0.5323678781870717,0.5323678781870717,0.0,0,0,0.5323678781870717,1,0,0,0.470671206117051,0.03231886414710951,0.220039824149491,0,0,0,0.0,0.0,general,既不属于明显稳定，也不属于明显失稳，属于典型临界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,103,plots/37/37data__CurveResult_70___job_219_110_1.npy.png
36data/CurveResult 70%/job_205_115_1.npy,36,unstable,1,2001,34,7,0.0006500000017695129,1.0171987707499073,0.90786179114337,0.01367671538603589,0.9749563191613279,0.8430401863715783,9.01000165939331,1.8700000047683716,1.7699999809265137,1.5399999618530273,0.7216600290050231,0.0,106.83992671966553,82.06135254950073,7.206044970811,0.2840812277014936,0.2840812277014936,31.231666030898342,98.03665280838477,0.0,,0.9662452022386838,0.2952744155925396,0.31617077748497935,0.373234119770411,0.517381682895067,0.517381682895067,0.013197330121594726,0,0,0.5305790130166618,1,0,0,0.4336999666908618,0.07331850067552625,0.22287562416125023,0,1,0,0.0,0.013197330121594726,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,104,plots/36/36data__CurveResult_70___job_205_115_1.npy.png
36data/CurveResult 70%/job_153_115_1.npy,36,unstable,1,2001,34,7,5.999999848427251e-05,1.017169320639163,0.9078379590712969,0.013747195010624253,0.9737914967967385,0.844496214327315,9.0600004196167,1.880000114440918,1.7799999713897705,1.5399999618530273,0.7245323368964536,0.0,106.87450885772705,82.06028802359282,7.220555971224135,0.25865048319724776,0.25865048319724776,31.58711110644574,98.54722487125696,0.0,,0.966446071984469,0.30203461565225936,0.31615034732110353,0.35031757250284457,0.5145435768392503,0.5145435768392503,0.012391817135527608,0,0,0.526935393974778,1,0,0,0.4323365537604776,0.06884342853070893,0.21926177527087345,0,1,0,0.0,0.012391817135527608,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,105,plots/36/36data__CurveResult_70___job_153_115_1.npy.png
36data/CurveResult 70%/job_231_115_1.npy,36,unstable,1,2001,34,7,0.0002800000074785203,1.017211702088358,0.9078727859762771,0.013643368204315852,0.9749563191613279,0.8433313919627257,9.000000953674316,1.8700000047683716,1.7699999809265137,1.5299999713897705,0.7202310395641569,0.0,106.81062126159668,82.06416042527157,7.19910978526262,0.29582691066365685,0.29582691066365685,31.47716002288766,98.00736442841563,0.0,,0.966152340313221,0.2952744155925396,0.3162246692468181,0.35732728869896735,0.5141859310435991,0.5141859310435991,0.012613630847870842,0,0,0.5267995618914699,1,0,0,0.4334550301022097,0.0700757269326158,0.22003772798564514,0,1,0,0.0,0.012613630847870842,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,106,plots/36/36data__CurveResult_70___job_231_115_1.npy.png
36data/CurveResult 70%/job_257_115_1.npy,36,unstable,1,2001,34,7,4.999999873689376e-05,1.0172199123970487,0.907879999324457,0.013621580787175964,0.9749563191613279,0.8433313919627257,9.02000117301941,1.8700000047683716,1.7699999809265137,1.5299999713897705,0.719329329193834,0.0,106.79404354095459,82.06608647730813,7.194433437982241,0.30385366055674373,0.30385366055674373,31.577770360480642,97.57328878981504,0.0,,0.9660913510135282,0.2952744155925396,0.316261639106871,0.35091026676669923,0.5128934723322509,0.5128934723322509,0.012383178950469805,0,0,0.5252766512827207,1,0,0,0.4334515605655627,0.06879543861372114,0.21890696845309832,0,1,0,0.0,0.012383178950469805,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。电压末段反复接近低压危险区，但没有彻底崩塌。,107,plots/36/36data__CurveResult_70___job_257_115_1.npy.png
